Title,Title_URL,Image,Likes,likes,comment,collect,share
这是可以大闹天宫的棍法，只有身体灵活异于常人，才有可能练成 #非遗传承 #峨眉武术 #猴棍 #纪录片解说 ,https://www.douyin.com/video/7360237981539650843,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/cb2c2af8e3cb4aa7b9ed3b91cb6a3073~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=da2Tr%2FfCq2cN66oIyHx3O4BuzzU%3D,598,601,6,113,17
用马皮包裹的滑雪板，才是进化完全的滑雪板，这里的人玩了数千年 #非遗传承 #纪录片解说 #毛皮滑雪板 #传承 ,https://www.douyin.com/video/7359494406652710170,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/8f1a716575aa43eb82a48d327bd4b4d9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=GGYsit1Ac0I6iU5glp2g3031ahM%3D,781,781,8,115,27
只要能种地，甭管多么恶劣的条件，中国人总是能把烂地变成良田 #非遗传承 #垛田 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7359132099321810213,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/31e88b9f5bb54f71b44cdc23037f2632~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=wVokpbglt58%2FePeZsnuWFqioX7Q%3D,1.2万,12000,438,1495,794
一根绳子数海里，上面遍布上百个钓钩，这样钓鱼才足够豪气 #非遗传承 #延绳钓 #纪录片解说 #老手艺 #钓鱼 ,https://www.douyin.com/video/7358797244834811162,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/34ae8d028a0a4fa2bc2e7d35415910b0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=UIOYUVLDNsyb7%2Fdipr%2FiniGVAe4%3D,3589,3597,39,379,188
世上最大的渔具，耗费一个宗族几代人精力，拥有一个就可以躺平了 #石沪 #纪录片解说 #传统技艺 #非遗传承 ,https://www.douyin.com/video/7358389407222631716,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/2098d59103f64116b81879f8efb2bf64~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=zJ74bf2kHcQo0Oy2X34cw7DjThQ%3D,1.9万,19000,359,2049,1280
随意的锄地随意的睡觉，一切随意皆由心意，才能练就万拳之王 #心意把 #纪录片解说 #非遗传承 #传统功夫 ,https://www.douyin.com/video/7358020264388513036,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/821ed075da114fef9182968e0f42c6e5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ii0PwpuB7lRS8HQUWT7vJw5O2qw%3D,1.6万,16000,414,2907,554
经过39个孔眼的拉扯，细到快要看不见，才能让银器比黄金还璀璨 #银花丝 #非遗传承 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7357644264005717257,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/e6fc597bdc7a47089f8f4b429150fc0e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ot%2FbVylkNKu0hbGS0jzQdCnDxR4%3D,1392,1392,18,191,33
都说南京的鸭子惨，这个地方的肥鸭也不遑多让，先腌后卤巴适得很 #非遗传承 #纪录片解说 #清流板鸭 #老手艺 ,https://www.douyin.com/video/7357280614757813545,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/38dfbd1ac7e245e483b3a5e70e2a5fca~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=d%2B8lcO7Go5dLlE0XK3DE%2BAIGplw%3D,693,693,8,132,52
原来油田顿钻技术的原型，竟然是原始的卓筒井，破土汲卤而制盐 #非遗传承 #卓筒井 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7356898703153597746,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/17c1fe9f88204c30bce27d2d7c97862d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=T9pkeK8AR%2FymMxQcY9Al54pQ1Ro%3D,5404,5408,222,735,344
原来造纸还有专门的纸药，破竹成浆的竹纸，竟成为科举的专属用纸 #非遗传承 #夹江竹纸 #纪录片解说 #老手艺 ,https://www.douyin.com/video/7356529743921007923,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/05e06b6f9b8e49cfb545db1e36758c0c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=KyrYatoqRakm%2FPVRcA%2BPzn9h1go%3D,5652,5662,111,702,204
原来烟筒水都能入药，用它做的水膏药还不用煎，彝族人奉为至宝 #非遗传承 #纪录片解说 #水膏药 #老手艺 ,https://www.douyin.com/video/7356160497374203147,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/2a4c324fbe7d44baa535dcf4108432ba~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=VHR1pQ5iqR1GB8GP3DM7rTWU23E%3D,2751,2759,34,450,162
为了学一竹渡江的绝技，小哥在河边跳了九九八十一次，人差点没了 #非遗传承 #独竹漂 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7355781563105266982,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/14afc668ae7c44f58f780cb5a6316d36~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=POTpktflMqHSfIjhZpaFy%2BtoaA4%3D,2.0万,20000,254,3007,1066
同样是对针缝法，爱马仕成为奢侈品，温州江南皮革厂却只能倒闭？ #温州皮鞋 #纪录片解说 #老手艺 #传统技艺 ,https://www.douyin.com/video/7355427763471256883,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/50cb21e8ab3d4aff84e544f0bf0b5a79~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Yl0GfOMwwU%2Bt23o084xdAhInnrk%3D,6706,6711,160,1038,333
古镇必不可少的氛围灯，三十九根篾条上下翻飞，一般人没这腚力 #非遗传承 #竹编灯笼 #纪录片解说 #老手艺 ,https://www.douyin.com/video/7355051084592729353,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/7545694895aa4bd085160d212489af03~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=hZypPLXLV%2BcIun%2BWuZx7pZmbebg%3D,440,440,20,62,47
香菇培育的剁花神术，为了防止其外泄，竟然创造出了专门的语言 #非遗传承 #香菇 #老手艺 #纪录片解说 ,https://www.douyin.com/video/7354664752402009363,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/d32443bc719a4a6b9616d0e898e3e03f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=buoHZkWA%2F5cfQYHoskdcO9NbcdU%3D,6025,6045,153,678,353
用食盐煮的毛竹看着就好吃，却没人舍得下嘴，都拿去制作传家宝了 #非遗传承 #留青竹刻 #纪录片解说 #老手艺 ,https://www.douyin.com/video/7354293251748285734,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/0387ff025ebe4aada261477a04e388c6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=VmtRgGeAthdF%2BbMre3zI36nkhWs%3D,2399,2401,21,400,116
用26年守护了9座千佛洞，修复近千平米壁画，就凭他手中的石头 #非遗传承 #壁画修复 #纪录片解说 #老手艺 ,https://www.douyin.com/video/7353210310687198503,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/a667532230cc42ac81c72631a8b5de3f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=FlKpNnLwTV6r1CSTmHLRSXHC6QA%3D,1003,1004,17,136,46
进村不见房遍地是坑道，渭北仅剩的一座地坑窑，修复起来可太难了 #非遗传承 #地坑院 #纪录片解说 #传统文化 ,https://www.douyin.com/video/7352848316012531007,https://p9-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/77e33e92f26a4eda9a99e089fc00e0de~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Bw%2B1u7sMeE%2FtM36CMUCqjcbPDsM%3D,3.0万,30000,290,2020,959
