Title,Title_URL,Image,Likes,likes,comment,collect,share
老人在做着人生最后一只瑶族长鼓，而这项手艺在不久后也即将失传#传统手艺 #瑶族长鼓 #匠心制作 #纪录片解说 ,https://www.douyin.com/video/7355828489196473637,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/2e3e79f1041e412786b44f145662f8a0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=mtfhBliEoOasG5gf%2B42AVs0dasc%3D,3464,3506,121,439,173
装酒不漏一滴，装水一滴不剩的巨大酒海，其中的秘密到底是什么？#非遗传承 #酒海 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7355072281971936524,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/291130d0ab714bb8878de4f328705f74~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2BBPbAsRJ4x7t3aszBjoaCKwuA%2Bc%3D,1152,1156,50,201,113
男人用破麻布给佛像敷个面膜，居然能传承千年，太神奇了#非遗传承 #干漆夹苎 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7353610455308455180,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/beb7bf75ace34871b2f2900f9b63ffee~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=LfFsQDLZ9V0RlNA76v7zZy7MOOg%3D,9862,9886,194,1044,574
散布在金门岛的数十万枚破弹壳，却被老人变废为宝#传统手艺 #金门菜刀 #匠心制作 #纪录片解说 ,https://www.douyin.com/video/7352837976902077722,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/62a50ff10c2b47e697eb83b2973e3f8a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ptwE9P6DGh0nqkBIiTKsV90ejwg%3D,3.8万,38000,81,5452,2118
邹族人冒着风险也要采摘的爱玉果到底有何魔力？#传统手艺 #爱玉果 #爱玉冰 #纪录片解说 ,https://www.douyin.com/video/7351726182196383014,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/40f3c7a6271041b5bc41f4cf1ed5cf6b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=jsWTqGRWKY0OyjnKbJMV%2F%2BS5BqE%3D,1.5万,15000,1449,2692,1657
一寸长的白芍切成360片不到0.1毫米，让老人荣登吉尼斯世界纪录之最#非遗传承 #中药 #炮制 #纪录片解说 ,https://www.douyin.com/video/7350241173388201266,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/a0dd5b80c5a04533952f41481659e95a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=aoSBhVYWH%2BWXXXVPvT4dgci09G0%3D,1314,1316,37,131,53
老人给大树做外科手术，还用保鲜膜延续生命#非遗传承 #杜仲皮 #本草 #纪录片解说 ,https://www.douyin.com/video/7348411632470560036,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/7848f72160dd4cd48cfebc71562a886d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=eJvHS0zEuWQ7A22fwC8PIaztSlM%3D,841,843,32,131,32
被誉为江南水八鲜之首的“鸡头米”也是药食同源的一味珍贵本草#非遗传承 #鸡头米 #本草 #纪录片解说 ,https://www.douyin.com/video/7348055531275242771,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/4bd632441b40498ebd10e4e9b0eb639f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=bUOEqImYWeBj21NQ9s7Ovi8KBvs%3D,510,512,19,87,44
一块不起眼的石头，在门巴族人手中敲敲打打就能身价翻倍#非遗传承 #墨脱石锅 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7346941524640353562,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/216e30d04a0a4376a72e063f2044cc7f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=AV8pkCc3Q94hSk6k7tK6C8kHMRM%3D,9520,9903,1176,777,510
呕心沥血耗费人力财力绘成的坛城沙画，为何要年年建造年年毁？#传统文化习俗 #坛城 #沙画 #纪录片解说 ,https://www.douyin.com/video/7346538483277761804,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/ac86ca14f1354b1ea434485a6666e0cf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Jqf4IF0jdRoiK1N%2F5KwkFinAQ38%3D,4185,4193,1079,306,229
凝聚了几十种药材与高山雪水的尼木藏香，到底有何神奇之处？#非遗传承 #藏香 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7345802329934794022,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/b301ee7bb8e24d14bf105362f993a0fa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=6xupXJFlWrmklngUMTwbWPaxT%2FA%3D,1.6万,16000,247,1392,804
作为藏族唯一的渔村，俊巴人一直延续着捕鱼为生的传统习俗#非遗传承 #牛皮筏 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7345426659694218507,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/e3b28c69bbf1463ea06b33fb3b052f19~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=4VBfSnAySThcwwIsWi7C7LbJeZg%3D,4536,4547,571,734,943
原来武侠剧中的“黑玉断续膏”在现实中也真实存在#非遗传承 #自然铜 #中药炮制 #纪录片解说 #涨知识 ,https://www.douyin.com/video/7344689544022740263,https://p9-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/381c40e8fbfb42019cdf13b2206e7caa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=5LVy3xw0exZ3CraQmRQ93h0w3HQ%3D,568,570,18,101,31
酒痴不但在庭院底下埋藏20万斤白酒，还掌握着一套古法酿制工艺#传统工艺酿酒 #老手艺 #纪录片解说 #涨知识 ,https://www.douyin.com/video/7343608116644154674,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/d988dd924d7748da8f708cdf294220fe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=N8dxDhFvfq9I%2F3wpKIydGnFXC2c%3D,8312,8311,182,1641,584
这是中国唯一一个男嫁女娶的部落，上千年的制盐手艺传女不传男#传统习俗 #嫁娶 #古法制盐 #纪录片充电计划 ,https://www.douyin.com/video/7343225394985864502,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/819de0eae5504c3fb51a92d5611e19ff~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=dgEgGi2KDmnj7R3AUtWcR605vrA%3D,3.8万,38000,1391,3583,16000
原来比人参还难找的天麻，居然是无根无叶的#天麻 #中药本草 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7342817797858250021,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/e2e5f35f354443188c702b0c802e64b5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=czMpWz87vnRQgQsD0oO25Nybcqg%3D,393,394,5,68,20
“古法炼铁”穿越必备技能之一#非遗传承 #古法炼铁 #传统手艺 #纪录片解说 #涨知识 ,https://www.douyin.com/video/7341709614511181106,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/51ce1184403b4c0e992dea106bed38fd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=KfW00B%2BA48zJnLsoatyLP%2B5jHXc%3D,1235,1239,30,301,61
只因年轻人连辈分都搞不清楚，族老们打算重修断代将近百年的族谱#非遗传承 #修谱师 #手艺人 #纪录片充电计划 ,https://www.douyin.com/video/7340949702688378151,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/869c38ce6e754fb6829c910accd43ba8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=OSQy%2BOb0wwwFTrCezGD2MiEzIfw%3D,1.3万,13000,1228,1234,416
“谁知盘中餐，粒粒皆辛苦”这句话你体会过吗？#传统文化 #古人智慧 #种水稻 #涨知识 ,https://www.douyin.com/video/7332690520105356555,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/8999b898946149f8900bb3e0bd5ea589~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=6m2%2BQFOrVVlNni1zx6zyzGqr83s%3D,1062,1062,29,345,103
